Record_Number,Listing_ID,Property_Title,Property_Type,Configuration,Price_2025_INR,Price_in_Lakhs_INR,Area_sqft,Bedrooms,Bathrooms,Price_per_Sqft,Locality,City,Zone,Builder_Owner,Construction_Status,RERA_Status,Facing,Furnishing,Price_2016_INR,Price_2017_INR,Price_2018_INR,Price_2019_INR,Price_2020_INR,Price_2021_INR,Price_2022_INR,Price_2023_INR,Price_2024_INR
34,1786023688-34,DLF Limited Signature Park,5 BHK Villa,5 BHK,21050000.0,210.5,2429.0,5,4,8666.0,Banashankari,Bangalore,South,DLF Limited,Under Construction,Yes,North-East,Unfurnished,12630000.0,13682500.0,14735000.0,15787500.0,16840000.0,17892500.0,18945000.0,19997500.0,20629000.0
35,1786023688-35,Godrej Properties Crown Court,1 BHK Flat,1 BHK,5280000.0,52.8,613.0,1,1,8613.0,Malleshwaram,Bangalore,West,Godrej Properties,Under Construction,Yes,East,Semi-Furnished,3168000.0,3432000.0,3696000.0,3960000.0,4224000.0,4488000.0,4752000.0,5016000.0,5174400.0
36,1786023688-36,Sobha Limited Royal Gardens,2 BHK Flat,2 BHK,7220000.0,72.2,999.0,2,2,7227.0,Kaggadasapura,Bangalore,West,Sobha Limited,Ready To Move,Yes,North,Fully-Furnished,4332000.0,4693000.0,5054000.0,5415000.0,5776000.0,6137000.0,6498000.0,6859000.0,7075600.0
37,1786023688-37,Oberoi Realty Grand Haven,3 BHK Flat,3 BHK,14920000.0,149.2,1551.0,3,3,9620.0,BTM Layout,Bangalore,South,Oberoi Realty,Ready To Move,Yes,North-East,Fully-Furnished,8952000.0,9698000.0,10444000.0,11190000.0,11936000.0,12682000.0,13428000.0,14174000.0,14621600.0
38,1786023688-38,Hiranandani Group Emerald Enclave,4 BHK Flat,4 BHK,15430000.0,154.3,2069.0,4,4,7458.0,JP Nagar,Bangalore,East,Hiranandani Group,Ready To Move,Yes,North,Unfurnished,9258000.0,10029500.0,10801000.0,11572500.0,12344000.0,13115500.0,13887000.0,14658500.0,15121400.0
39,1786023688-39,Lodha Group Serene Square,5 BHK Villa,5 BHK,20960000.0,209.6,2499.0,5,4,8387.0,C V Raman Nagar,Bangalore,North,Lodha Group,Under Construction,Yes,East,Unfurnished,12576000.0,13624000.0,14672000.0,15720000.0,16768000.0,17816000.0,18864000.0,19912000.0,20540800.0
40,1786023688-40,Aparna Constructions Skyline Plaza,1 BHK Flat,1 BHK,4390000.0,43.9,524.0,1,1,8378.0,Varthur,Bangalore,West,Aparna Constructions,Under Construction,Yes,North,Fully-Furnished,2634000.0,2853500.0,3073000.0,3292500.0,3512000.0,3731500.0,3951000.0,4170500.0,4302200.0
41,1786023688-41,Brigade Group Imperia Terraces,2 BHK Flat,2 BHK,8740000.0,87.4,1021.0,2,2,8560.0,Whitefield,Bangalore,Central,Brigade Group,Under Construction,Yes,West,Semi-Furnished,5244000.0,5681000.0,6118000.0,6555000.0,6992000.0,7429000.0,7866000.0,8303000.0,8565200.0
42,1786023688-42,Puravankara Elegance Residences,3 BHK Flat,3 BHK,15450000.0,154.5,1625.0,3,3,9508.0,Koramangala,Bangalore,West,Puravankara,Under Construction,Yes,East,Unfurnished,9270000.0,10042500.0,10815000.0,11587500.0,12360000.0,13132500.0,13905000.0,14677500.0,15141000.0
43,1786023688-43,Rustomjee Urban Greens,4 BHK Flat,4 BHK,17690000.0,176.9,2067.0,4,4,8558.0,Indiranagar,Bangalore,East,Rustomjee,Under Construction,Yes,North-East,Unfurnished,10614000.0,11498500.0,12383000.0,13267500.0,14152000.0,15036500.0,15921000.0,16805500.0,17336200.0
44,1786023688-44,Tata Housing Central Estate,5 BHK Villa,5 BHK,21630000.0,216.3,2356.0,5,4,9181.0,HSR Layout,Bangalore,South,Tata Housing,Ready To Move,Yes,North-East,Unfurnished,12978000.0,14059500.0,15141000.0,16222500.0,17304000.0,18385500.0,19467000.0,20548500.0,21197400.0
45,1786023688-45,Mahindra Lifespaces Valley Heights,1 BHK Flat,1 BHK,5900000.0,59.0,670.0,1,1,8806.0,Electronic City,Bangalore,West,Mahindra Lifespaces,Ready To Move,Yes,North-East,Unfurnished,3540000.0,3835000.0,4130000.0,4425000.0,4720000.0,5015000.0,5310000.0,5605000.0,5782000.0
46,1786023688-46,Casagrand Heights Villas,2 BHK Flat,2 BHK,7110000.0,71.1,1028.0,2,2,6916.0,Hebbal,Bangalore,East,Casagrand,Under Construction,Yes,North-East,Fully-Furnished,4266000.0,4621500.0,4977000.0,5332500.0,5688000.0,6043500.0,6399000.0,6754500.0,6967800.0
47,1786023688-47,Kolte-Patil Palms Towers,3 BHK Flat,3 BHK,13680000.0,136.8,1523.0,3,3,8982.0,Yelahanka,Bangalore,North,Kolte-Patil,Ready To Move,Yes,North,Fully-Furnished,8208000.0,8892000.0,9576000.0,10260000.0,10944000.0,11628000.0,12312000.0,12996000.0,13406400.0
48,1786023688-48,Piramal Realty Vista Park,4 BHK Flat,4 BHK,18840000.0,188.4,1880.0,4,4,10021.0,Sarjapur Road,Bangalore,North,Piramal Realty,Under Construction,Yes,North-East,Semi-Furnished,11304000.0,12246000.0,13188000.0,14130000.0,15072000.0,16014000.0,16956000.0,17898000.0,18463200.0
49,1786023688-49,Prestige Group Avenue Court,5 BHK Villa,5 BHK,25650000.0,256.5,2543.0,5,4,10087.0,Bellandur,Bangalore,South,Prestige Group,Under Construction,Yes,West,Fully-Furnished,15390000.0,16672500.0,17955000.0,19237500.0,20520000.0,21802500.0,23085000.0,24367500.0,25137000.0
50,1786023688-50,DLF Limited Oasis Gardens,1 BHK Flat,1 BHK,4960000.0,49.6,532.0,1,1,9323.0,Thanisandra,Bangalore,West,DLF Limited,Under Construction,Yes,East,Semi-Furnished,2976000.0,3224000.0,3472000.0,3720000.0,3968000.0,4216000.0,4464000.0,4712000.0,4860800.0
51,1786023688-51,Godrej Properties Solitaire Haven,2 BHK Flat,2 BHK,11110000.0,111.1,1182.0,2,2,9399.0,Marathahalli,Bangalore,West,Godrej Properties,Ready To Move,Yes,East,Unfurnished,6666000.0,7221500.0,7777000.0,8332500.0,8888000.0,9443500.0,9999000.0,10554500.0,10887800.0
52,1786023688-52,Sobha Limited Signature Enclave,3 BHK Flat,3 BHK,12240000.0,122.4,1500.0,3,3,8160.0,Jayanagar,Bangalore,Central,Sobha Limited,Ready To Move,Yes,East,Unfurnished,7344000.0,7956000.0,8568000.0,9180000.0,9792000.0,10404000.0,11016000.0,11628000.0,11995200.0
53,1786023688-53,Oberoi Realty Crown Square,4 BHK Flat,4 BHK,16340000.0,163.4,2037.0,4,4,8022.0,Rajajinagar,Bangalore,North,Oberoi Realty,Ready To Move,Yes,North,Semi-Furnished,9804000.0,10621000.0,11438000.0,12255000.0,13072000.0,13889000.0,14706000.0,15523000.0,16013200.0
54,1786023688-54,Hiranandani Group Royal Plaza,5 BHK Villa,5 BHK,19610000.0,196.1,2461.0,5,4,7968.0,Banashankari,Bangalore,North,Hiranandani Group,Under Construction,Yes,North,Semi-Furnished,11766000.0,12746500.0,13727000.0,14707500.0,15688000.0,16668500.0,17649000.0,18629500.0,19217800.0
55,1786023688-55,Lodha Group Grand Terraces,1 BHK Flat,1 BHK,3960000.0,39.6,503.0,1,1,7873.0,Malleshwaram,Bangalore,Central,Lodha Group,Ready To Move,Yes,North-East,Semi-Furnished,2376000.0,2574000.0,2772000.0,2970000.0,3168000.0,3366000.0,3564000.0,3762000.0,3880800.0
56,1786023688-56,Aparna Constructions Emerald Residences,2 BHK Flat,2 BHK,9820000.0,98.2,973.0,2,2,10092.0,Kaggadasapura,Bangalore,South,Aparna Constructions,Ready To Move,Yes,East,Fully-Furnished,5892000.0,6383000.0,6874000.0,7365000.0,7856000.0,8347000.0,8838000.0,9329000.0,9623600.0
57,1786023688-57,Brigade Group Serene Greens,3 BHK Flat,3 BHK,14690000.0,146.9,1585.0,3,3,9268.0,BTM Layout,Bangalore,Central,Brigade Group,Ready To Move,Yes,North-East,Unfurnished,8814000.0,9548500.0,10283000.0,11017500.0,11752000.0,12486500.0,13221000.0,13955500.0,14396200.0
58,1786023688-58,Puravankara Skyline Estate,4 BHK Flat,4 BHK,13770000.0,137.7,2014.0,4,4,6837.0,JP Nagar,Bangalore,West,Puravankara,Ready To Move,Yes,North,Unfurnished,8262000.0,8950500.0,9639000.0,10327500.0,11016000.0,11704500.0,12393000.0,13081500.0,13494600.0
59,1786023688-59,Rustomjee Imperia Heights,5 BHK Villa,5 BHK,22400000.0,224.0,2473.0,5,4,9058.0,C V Raman Nagar,Bangalore,North,Rustomjee,Ready To Move,Yes,North,Unfurnished,13440000.0,14560000.0,15680000.0,16800000.0,17920000.0,19040000.0,20160000.0,21280000.0,21952000.0
60,1786023688-60,Tata Housing Elegance Villas,1 BHK Flat,1 BHK,4650000.0,46.5,631.0,1,1,7369.0,Varthur,Bangalore,North,Tata Housing,Under Construction,Yes,North-East,Unfurnished,2790000.0,3022500.0,3255000.0,3487500.0,3720000.0,3952500.0,4185000.0,4417500.0,4557000.0
61,1786023688-61,Mahindra Lifespaces Urban Towers,2 BHK Flat,2 BHK,8250000.0,82.5,978.0,2,2,8436.0,Whitefield,Bangalore,West,Mahindra Lifespaces,Under Construction,Yes,North,Unfurnished,4950000.0,5362500.0,5775000.0,6187500.0,6600000.0,7012500.0,7425000.0,7837500.0,8085000.0
62,1786023688-62,Casagrand Central Park,3 BHK Flat,3 BHK,10530000.0,105.3,1450.0,3,3,7262.0,Koramangala,Bangalore,North,Casagrand,Under Construction,Yes,North-East,Semi-Furnished,6318000.0,6844500.0,7371000.0,7897500.0,8424000.0,8950500.0,9477000.0,10003500.0,10319400.0
63,1786023688-63,Kolte-Patil Valley Court,4 BHK Flat,4 BHK,15410000.0,154.1,1989.0,4,4,7748.0,Indiranagar,Bangalore,East,Kolte-Patil,Under Construction,Yes,North,Fully-Furnished,9246000.0,10016500.0,10787000.0,11557500.0,12328000.0,13098500.0,13869000.0,14639500.0,15101800.0
64,1786023688-64,Piramal Realty Heights Gardens,5 BHK Villa,5 BHK,20520000.0,205.2,2302.0,5,4,8914.0,HSR Layout,Bangalore,East,Piramal Realty,Under Construction,Yes,West,Fully-Furnished,12312000.0,13338000.0,14364000.0,15390000.0,16416000.0,17442000.0,18468000.0,19494000.0,20109600.0
65,1786023688-65,Prestige Group Palms Haven,1 BHK Flat,1 BHK,5850000.0,58.5,702.0,1,1,8333.0,Electronic City,Bangalore,East,Prestige Group,Under Construction,Yes,East,Unfurnished,3510000.0,3802500.0,4095000.0,4387500.0,4680000.0,4972500.0,5265000.0,5557500.0,5733000.0
66,1786023688-66,DLF Limited Vista Enclave,2 BHK Flat,2 BHK,7920000.0,79.2,1118.0,2,2,7084.0,Hebbal,Bangalore,South,DLF Limited,Ready To Move,Yes,North,Unfurnished,4752000.0,5148000.0,5544000.0,5940000.0,6336000.0,6732000.0,7128000.0,7524000.0,7761600.0
67,1786023688-67,Godrej Properties Avenue Square,3 BHK Flat,3 BHK,14810000.0,148.1,1519.0,3,3,9750.0,Yelahanka,Bangalore,East,Godrej Properties,Ready To Move,Yes,North,Semi-Furnished,8886000.0,9626500.0,10367000.0,11107500.0,11848000.0,12588500.0,13329000.0,14069500.0,14513800.0
68,1786023688-68,Sobha Limited Oasis Plaza,4 BHK Flat,4 BHK,18740000.0,187.4,1938.0,4,4,9670.0,Sarjapur Road,Bangalore,North,Sobha Limited,Ready To Move,Yes,North-East,Unfurnished,11244000.0,12181000.0,13118000.0,14055000.0,14992000.0,15929000.0,16866000.0,17803000.0,18365200.0
69,1786023688-69,Oberoi Realty Solitaire Terraces,5 BHK Villa,5 BHK,21840000.0,218.4,2368.0,5,4,9223.0,Bellandur,Bangalore,South,Oberoi Realty,Ready To Move,Yes,North-East,Fully-Furnished,13104000.0,14196000.0,15288000.0,16380000.0,17472000.0,18564000.0,19656000.0,20748000.0,21403200.0
70,1786023688-70,Hiranandani Group Signature Residences,1 BHK Flat,1 BHK,6400000.0,64.0,684.0,1,1,9357.0,Thanisandra,Bangalore,East,Hiranandani Group,Under Construction,Yes,North-East,Fully-Furnished,3840000.0,4160000.0,4480000.0,4800000.0,5120000.0,5440000.0,5760000.0,6080000.0,6272000.0
71,1786023688-71,Lodha Group Crown Greens,2 BHK Flat,2 BHK,11300000.0,113.0,1140.0,2,2,9912.0,Marathahalli,Bangalore,North,Lodha Group,Under Construction,Yes,North-East,Unfurnished,6780000.0,7345000.0,7910000.0,8475000.0,9040000.0,9605000.0,10170000.0,10735000.0,11074000.0
72,1786023688-72,Aparna Constructions Royal Estate,3 BHK Flat,3 BHK,15580000.0,155.8,1573.0,3,3,9905.0,Jayanagar,Bangalore,South,Aparna Constructions,Ready To Move,Yes,North-East,Fully-Furnished,9348000.0,10127000.0,10906000.0,11685000.0,12464000.0,13243000.0,14022000.0,14801000.0,15268400.0
73,1786023688-73,Brigade Group Grand Heights,4 BHK Flat,4 BHK,16990000.0,169.9,2091.0,4,4,8125.0,Rajajinagar,Bangalore,Central,Brigade Group,Under Construction,Yes,East,Fully-Furnished,10194000.0,11043500.0,11893000.0,12742500.0,13592000.0,14441500.0,15291000.0,16140500.0,16650200.0
74,1786023688-74,Puravankara Emerald Villas,5 BHK Villa,5 BHK,18230000.0,182.3,2539.0,5,4,7180.0,Banashankari,Bangalore,Central,Puravankara,Ready To Move,Yes,North-East,Semi-Furnished,10938000.0,11849500.0,12761000.0,13672500.0,14584000.0,15495500.0,16407000.0,17318500.0,17865400.0
75,1786023688-75,Rustomjee Serene Towers,1 BHK Flat,1 BHK,4550000.0,45.5,664.0,1,1,6852.0,Malleshwaram,Bangalore,East,Rustomjee,Ready To Move,Yes,North-East,Unfurnished,2730000.0,2957500.0,3185000.0,3412500.0,3640000.0,3867500.0,4095000.0,4322500.0,4459000.0
76,1786023688-76,Tata Housing Skyline Park,2 BHK Flat,2 BHK,11110000.0,111.1,1197.0,2,2,9282.0,Kaggadasapura,Bangalore,Central,Tata Housing,Ready To Move,Yes,West,Semi-Furnished,6666000.0,7221500.0,7777000.0,8332500.0,8888000.0,9443500.0,9999000.0,10554500.0,10887800.0
77,1786023688-77,Mahindra Lifespaces Imperia Court,3 BHK Flat,3 BHK,10590000.0,105.9,1412.0,3,3,7500.0,BTM Layout,Bangalore,West,Mahindra Lifespaces,Ready To Move,Yes,East,Fully-Furnished,6354000.0,6883500.0,7413000.0,7942500.0,8472000.0,9001500.0,9531000.0,10060500.0,10378200.0
78,1786023688-78,Casagrand Elegance Gardens,4 BHK Flat,4 BHK,16100000.0,161.0,1873.0,4,4,8596.0,JP Nagar,Bangalore,Central,Casagrand,Under Construction,Yes,North,Semi-Furnished,9660000.0,10465000.0,11270000.0,12075000.0,12880000.0,13685000.0,14490000.0,15295000.0,15778000.0
79,1786023688-79,Kolte-Patil Urban Haven,5 BHK Villa,5 BHK,22840000.0,228.4,2303.0,5,4,9917.0,C V Raman Nagar,Bangalore,North,Kolte-Patil,Ready To Move,Yes,East,Unfurnished,13704000.0,14846000.0,15988000.0,17130000.0,18272000.0,19414000.0,20556000.0,21698000.0,22383200.0
80,1786023688-80,Piramal Realty Central Enclave,1 BHK Flat,1 BHK,4820000.0,48.2,696.0,1,1,6925.0,Varthur,Bangalore,Central,Piramal Realty,Ready To Move,Yes,West,Fully-Furnished,2892000.0,3133000.0,3374000.0,3615000.0,3856000.0,4097000.0,4338000.0,4579000.0,4723600.0
81,1786023688-81,Prestige Group Valley Square,2 BHK Flat,2 BHK,11130000.0,111.3,1112.0,2,2,10009.0,Whitefield,Bangalore,South,Prestige Group,Under Construction,Yes,North-East,Unfurnished,6678000.0,7234500.0,7791000.0,8347500.0,8904000.0,9460500.0,10017000.0,10573500.0,10907400.0
82,1786023688-82,DLF Limited Heights Plaza,3 BHK Flat,3 BHK,12470000.0,124.7,1523.0,3,3,8188.0,Koramangala,Bangalore,Central,DLF Limited,Under Construction,Yes,West,Semi-Furnished,7482000.0,8105500.0,8729000.0,9352500.0,9976000.0,10599500.0,11223000.0,11846500.0,12220600.0
83,1786023688-83,Godrej Properties Palms Terraces,4 BHK Flat,4 BHK,16290000.0,162.9,2017.0,4,4,8076.0,Indiranagar,Bangalore,East,Godrej Properties,Ready To Move,Yes,West,Semi-Furnished,9774000.0,10588500.0,11403000.0,12217500.0,13032000.0,13846500.0,14661000.0,15475500.0,15964200.0
84,1786023688-84,Sobha Limited Vista Residences,5 BHK Villa,5 BHK,17940000.0,179.4,2386.0,5,4,7519.0,HSR Layout,Bangalore,Central,Sobha Limited,Ready To Move,Yes,North-East,Fully-Furnished,10764000.0,11661000.0,12558000.0,13455000.0,14352000.0,15249000.0,16146000.0,17043000.0,17581200.0
