Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
11,1786023688-11,N/A,Rustomjee Palms Square,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹99.6 Lac,N/A,N/A,1158 sqft,Built-up Area,Marathahalli,Bangalore,Central,"Marathahalli, Bangalore",400011,Rustomjee Palms Square,Rustomjee,Verified Partner,Zero Brokerage,Ready To Move,Yes,12d ago,12,16,1 Covered,North-East,Semi-Furnished,₹8601 /sqft,"Swimming Pool, Elevator, Jogging Track, Clubhouse, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,11,5976000,6474000,6972000,7470000,7968000,8466000,8964000,9462000,9760800,9960000
12,1786023688-12,N/A,Tata Housing Vista Plaza,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹146.2 Lac,N/A,N/A,1443 sqft,Carpet Area,Jayanagar,Bangalore,East,"Jayanagar, Bangalore",400012,Tata Housing Vista Plaza,Tata Housing,Verified Partner,Zero Brokerage,Ready To Move,Yes,1d ago,13,17,1 Covered,North-East,Fully-Furnished,₹10132 /sqft,"Garden, Gymnasium, Parking, Jogging Track, Swimming Pool, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,12,8772000,9503000,10234000,10965000,11696000,12427000,13158000,13889000,14327600,14620000
13,1786023688-13,N/A,Mahindra Lifespaces Avenue Terraces,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹184.5 Lac,N/A,N/A,2009 sqft,Plot Area,Rajajinagar,Bangalore,East,"Rajajinagar, Bangalore",400013,Mahindra Lifespaces Avenue Terraces,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,14,18,1 Covered,West,Semi-Furnished,₹9184 /sqft,"Swimming Pool, Parking, Clubhouse, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,13,11070000,11992500,12915000,13837500,14760000,15682500,16605000,17527500,18081000,18450000
14,1786023688-14,N/A,Casagrand Oasis Residences,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹191.9 Lac,N/A,N/A,2355 sqft,Plot Area,Banashankari,Bangalore,East,"Banashankari, Bangalore",400014,Casagrand Oasis Residences,Casagrand,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,15,19,1 Covered,North,Semi-Furnished,₹8149 /sqft,"Power Backup, Parking, Jogging Track, Gymnasium, Garden, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,14,11514000,12473500,13433000,14392500,15352000,16311500,17271000,18230500,18806200,19190000
15,1786023688-15,N/A,Kolte-Patil Solitaire Greens,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹49.5 Lac,N/A,N/A,501 sqft,Plot Area,Malleshwaram,Bangalore,East,"Malleshwaram, Bangalore",400015,Kolte-Patil Solitaire Greens,Kolte-Patil,Verified Partner,Zero Brokerage,Ready To Move,Yes,4d ago,16,20,1 Covered,West,Semi-Furnished,₹9880 /sqft,"Clubhouse, Power Backup, Jogging Track, Gymnasium, Swimming Pool, Security, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,15,2970000,3217500,3465000,3712500,3960000,4207500,4455000,4702500,4851000,4950000
16,1786023688-16,N/A,Piramal Realty Signature Estate,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹107.9 Lac,N/A,N/A,1199 sqft,Built-up Area,Kaggadasapura,Bangalore,West,"Kaggadasapura, Bangalore",400016,Piramal Realty Signature Estate,Piramal Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,5d ago,17,21,1 Covered,North,Unfurnished,₹8999 /sqft,"Power Backup, Tennis Court, Security, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,16,6474000,7013500,7553000,8092500,8632000,9171500,9711000,10250500,10574200,10790000
17,1786023688-17,N/A,Prestige Group Crown Heights,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹106.1 Lac,N/A,N/A,1509 sqft,Carpet Area,BTM Layout,Bangalore,Central,"BTM Layout, Bangalore",400017,Prestige Group Crown Heights,Prestige Group,Verified Partner,Zero Brokerage,Under Construction,Yes,6d ago,18,22,1 Covered,East,Semi-Furnished,₹7031 /sqft,"Security, Parking, Clubhouse, Elevator, Gymnasium, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,17,6366000,6896500,7427000,7957500,8488000,9018500,9549000,10079500,10397800,10610000
18,1786023688-18,N/A,DLF Limited Royal Villas,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹153.9 Lac,N/A,N/A,1934 sqft,Carpet Area,JP Nagar,Bangalore,West,"JP Nagar, Bangalore",400018,DLF Limited Royal Villas,DLF Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,1,5,1 Covered,North,Semi-Furnished,₹7958 /sqft,"Gymnasium, Power Backup, Swimming Pool, Jogging Track, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,18,9234000,10003500,10773000,11542500,12312000,13081500,13851000,14620500,15082200,15390000
19,1786023688-19,N/A,Godrej Properties Grand Towers,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹205.5 Lac,N/A,N/A,2399 sqft,Plot Area,C V Raman Nagar,Bangalore,West,"C V Raman Nagar, Bangalore",400019,Godrej Properties Grand Towers,Godrej Properties,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,2,6,1 Covered,West,Fully-Furnished,₹8566 /sqft,"Power Backup, Jogging Track, Clubhouse, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,19,12330000,13357500,14385000,15412500,16440000,17467500,18495000,19522500,20139000,20550000
20,1786023688-20,N/A,Sobha Limited Emerald Park,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹53.9 Lac,N/A,N/A,615 sqft,Plot Area,Varthur,Bangalore,North,"Varthur, Bangalore",400020,Sobha Limited Emerald Park,Sobha Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,9d ago,3,7,1 Covered,North-East,Unfurnished,₹8764 /sqft,"Swimming Pool, Tennis Court, Jogging Track, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,20,3234000,3503500,3773000,4042500,4312000,4581500,4851000,5120500,5282200,5390000
21,1786023688-21,N/A,Oberoi Realty Serene Court,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹85.2 Lac,N/A,N/A,1190 sqft,Plot Area,Whitefield,Bangalore,North,"Whitefield, Bangalore",400021,Oberoi Realty Serene Court,Oberoi Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,4,8,1 Covered,East,Semi-Furnished,₹7160 /sqft,"Gymnasium, Jogging Track, Garden, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,21,5112000,5538000,5964000,6390000,6816000,7242000,7668000,8094000,8349600,8520000
22,1786023688-22,N/A,Hiranandani Group Skyline Gardens,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹145.7 Lac,N/A,N/A,1479 sqft,Super Built-up Area,Koramangala,Bangalore,Central,"Koramangala, Bangalore",400022,Hiranandani Group Skyline Gardens,Hiranandani Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,11d ago,5,9,1 Covered,North-East,Fully-Furnished,₹9851 /sqft,"Power Backup, Elevator, Swimming Pool, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,22,8742000,9470500,10199000,10927500,11656000,12384500,13113000,13841500,14278600,14570000
23,1786023688-23,N/A,Lodha Group Imperia Haven,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹144.6 Lac,N/A,N/A,1872 sqft,Built-up Area,Indiranagar,Bangalore,West,"Indiranagar, Bangalore",400023,Lodha Group Imperia Haven,Lodha Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,12d ago,6,10,1 Covered,North,Semi-Furnished,₹7724 /sqft,"Tennis Court, Parking, Security, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,23,8676000,9399000,10122000,10845000,11568000,12291000,13014000,13737000,14170800,14460000
24,1786023688-24,N/A,Aparna Constructions Elegance Enclave,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹175.2 Lac,N/A,N/A,2342 sqft,Plot Area,HSR Layout,Bangalore,South,"HSR Layout, Bangalore",400024,Aparna Constructions Elegance Enclave,Aparna Constructions,Verified Partner,Zero Brokerage,Under Construction,Yes,1d ago,7,11,1 Covered,East,Semi-Furnished,₹7481 /sqft,"Security, Garden, Elevator, Tennis Court, Gymnasium, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,24,10512000,11388000,12264000,13140000,14016000,14892000,15768000,16644000,17169600,17520000
25,1786023688-25,N/A,Brigade Group Urban Square,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹44.7 Lac,N/A,N/A,560 sqft,Carpet Area,Electronic City,Bangalore,North,"Electronic City, Bangalore",400025,Brigade Group Urban Square,Brigade Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,8,12,1 Covered,East,Fully-Furnished,₹7982 /sqft,"Parking, Clubhouse, Swimming Pool, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,25,2682000,2905500,3129000,3352500,3576000,3799500,4023000,4246500,4380600,4470000
